Description,Offense,Punishment,Section
"Description of IPC Section 121A
According to section 121A of Indian penal code, Whoever within or without India conspires to commit any of the offences punishable by section 121, or conspires to overawe, by means of criminal force or the show of criminal force, the Central Government or any State Government, shall be punished with imprisonment for life, or with imprisonment of either description which may extend to ten years, and shall also be liable to fine.


IPC 121A in Simple Words
Section 121A of the Indian Penal Code states that anyone who conspires to commit certain serious offences or intends to use criminal force against the Central Government or any State Government may face punishment of life imprisonment or imprisonment up to ten years, along with a possible fine.",Conspiring to commit certain offences against the State,Imprisonment for Life or 10 Years + Fine,121A
"Description of IPC Section 122
According to section 122 of Indian penal code, Whoever collects men, arms or ammunition or otherwise prepares to wage war with the intention of either waging or being prepared to wage war against the Government of India, shall be punished with imprisonment for life or imprisonment of either description for a term not exceeding ten years, and shall also be liable to fine.


IPC 122 in Simple Words
If someone gathers people, weapons, or prepares for war with the intention of waging or being ready to wage war against the Government of India, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.","Collecting arms, etc., with The intention of waging War against the Government of India",Imprisonment for Life or 10 Years + Fine,122
"Description of IPC Section 123
According to section 123 of Indian penal code, Whoever, by any act, or by any illegal omission, conceals the existence of a design to wage war against the Government of India, intending by such concealment to facilitate, or knowing it to be likely that such concealment will facilitate, the waging of such war, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 123 in Simple Words
If someone hides or fails to report a plan to wage war against the Government of India, intending to help or knowing it might help the war, they can be punished with imprisonment of up to ten years and may also be fined.",Concealing with intent to facilitate a design to wage War,10 Years + Fine,123
"Description of IPC Section 124
According to section 124 of Indian penal code, Whoever, with the intention of inducing or compelling the President of India, or Governor of any State, to exercise or refrain from exercising in any manner any of the lawful powers of such President or Governor, assaults or wrongfully restrains, or attempts wrongfully to restrain, or overawes, by means of criminal force or the show of criminal force, or attempts so to overawe, such President or Governor, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.


IPC 124 in Simple Words
If someone assaults or wrongfully restrains the President of India or Governor of a State with the intention of influencing their lawful powers, they can be punished with imprisonment of up to seven years and may also be fined.","Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power",7 Years + Fine,124
"Description of IPC Section 124A
According to section 124A of Indian penal code, Whoever by words, either spoken or written, or by signs, or by visible representation, or otherwise, brings or attempts to bring into hatred or contempt, or excites or attempts to excite disaffection towards, the Government established by law in India, a shall be punished with imprisonment for life, to which fine may be added, or with imprisonment which may extend to three years, to which fine may be added, or with fine.


IPC 124A in Simple Words
Section 124A of the Indian Penal Code punishes those who attempt to bring hatred, contempt, or disaffection towards the Government of India through spoken or written words, signs, or visible representations, with either life imprisonment or imprisonment up to three years, along with a possible fine.",Sedition,Imprisonment for Life + Fine or 3 Years + Fine or Fine,124A
"Description of IPC Section 125
According to section 125 of Indian penal code, Whoever wages war against the Government of any Asiatic Power in alliance or at peace with the Government of India or attempts to wage such war, or abets the waging of such war, shall be punished with imprisonment for life, to which fine may be added, or with imprisonment of either description for a term which may extend to seven years, to which fine may be added, or with fine.


IPC 125 in Simple Words
If someone wages war against or attempts to wage war against a Government of an Asian country allied or at peace with India, or aids in doing so, they can be punished with life imprisonment, or imprisonment of up to seven years, and may also be fined.","Waging war against any Asiatic power in alliance or at peace with the Government of India, or abetting the waging of such war",Imprisonment for Life + Fine or 7 Years + Fine or Fine,125
"Description of IPC Section 126
According to section 126 of Indian penal code, Whoever commits depredation, or makes preparations to commit depredation, on the territories of any Power in alliance or at peace with the Government of India, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine and to forfeiture of any property used or intended to be used in committing such depredation, or acquired by such depredation.


IPC 126 in Simple Words
If someone commits or prepares to commit any harmful act on the territories of a country allied or at peace with India, they can be punished with imprisonment of up to seven years, fined, and any property used or gained in the act can be forfeited.",Committing depredation On the territories of any power in alliance or at peace with the Government of India,7 Years + Fine + forfeiture of property,126
"Description of IPC Section 140
According to section 140 of Indian penal code, Whoever, not being a soldier, sailor or airman in the Military, Naval or Air service of the Government of India, wears any garb or carries any token resembling any garb or token used by such a soldier, sailor or airman with the intention that it may be believed that he is such a soldier, sailor or airman, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.


IPC 140 in Simple Words
If someone who is not a military member wears a uniform or carries something resembling a military uniform to deceive others into believing they are a soldier, sailor, or airman, they can be punished with up to three months in jail, a fine of up to five hundred rupees, or both.","Wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman",3 Months or Fine or Both,140
"Description of IPC Section 153
According to section 153 of Indian penal code, Whoever malignantly, or wantonly by doing anything which is illegal, gives provocation to any person intending or knowing it to be likely that such provocation will cause the offence of rioting to be committed, shall, if the offence of rioting be committed in consequence of such provocation, be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both, and if the offence of rioting be not committed, with imprisonment of either description for a term which may extend to six months, or with fine, or with both.


IPC 153 in Simple Words
If someone intentionally provokes another person in a way that may lead to a riot, they can be punished with up to one year in jail, a fine, or both if a riot occurs, and up to six months in jail, a fine, or both if a riot doesn't happen.","Wantonly giving provocation with intent to cause riot, If rioting be committed",1 Year or Fine or Both,153
"Description of IPC Section 153A
According to section 153A of Indian penal code,
Whoever
by words, either spoken or written, or by signs or by visible representations or otherwise, promotes or attempts to promote, on grounds of religion, race, place of birth, residence, language, caste or community or any other ground whatsoever, disharmony or feelings of enmity, hatred or ill-will between different religious, racials, language or regional groups or castes or communities, or
commits any act which is prejudicial to the maintenance of harmony between different religious, racial, language or regional groups or castes or communities, and which disturbs or is likely to disturb the public tranquility, or
organizes any exercise, movement, drill or other similar activity intending that the participants in such activity shall use or be trained to use criminal force or violence or knowing it to be likely that the participants in such activity will use or be trained to use criminal force or violence, or participates in such activity intending to use or be trained to use criminal force or violence or knowing it to be likely that the participants in such activity will use or be trained to use criminal force or violence, against any religious, racial, language or regional group or caste or community and such activity for any reason whatsoever causes or is likely to cause fear or alarm or a feeling of insecurity amongst members of such religious, racial, language or regional group or caste or community, shall be punished with imprisonment which may extend to three years, or with fine, or with both.
Offence committed in place of worship, etc â€” Whoever commits an offence specified in sub-section (1) in any place of worship or in any assembly engaged in the performance of religious worship or religious ceremonies, shall be punished with imprisonment which may extend to five years and shall also be liable to fine.


IPC 153A in Simple Words
Section 153A of the Indian Penal Code punishes those who promote disharmony or feelings of hatred between different religious, racial, language, or regional groups, or engage in acts prejudicial to maintaining harmony, with imprisonment up to three years, or fine, or both, and up to five years of imprisonment with fine if the offence is committed in a place of worship or during religious ceremonies.",Promoting enmity between classes,3 Years or Fine or Both,153A
"Description of IPC Section 153AA
According to section 153AA of Indian penal code,
Whoever
by words, either spoken or written, or by signs or by visible representations or otherwise, promotes or attempts to promote, on grounds of religion, race, place of birth, residence, language, caste or community or any other ground whatsoever, disharmony or feelings of enmity, hatred or ill-will between different religious, racials, language or regional groups or castes or communities, or
commits any act which is prejudicial to the maintenance of harmony between different religious, racial, language or regional groups or castes or communities, and which disturbs or is likely to disturb the public tranquility, or
organizes any exercise, movement, drill or other similar activity intending that the participants in such activity shall use or be trained to use criminal force or violence or knowing it to be likely that the participants in such activity will use or be trained to use criminal force or violence, or participates in such activity intending to use or be trained to use criminal force or violence or knowing it to be likely that the participants in such activity will use or be trained to use criminal force or violence, against any religious, racial, language or regional group or caste or community and such activity for any reason whatsoever causes or is likely to cause fear or alarm or a feeling of insecurity amongst members of such religious, racial, language or regional group or caste or community, shall be punished with imprisonment which may extend to three years, or with fine, or with both.
Offence committed in place of worship, etc â€” Whoever commits an offence specified in sub-section (1) in any place of worship or in any assembly engaged in the performance of religious worship or religious ceremonies, shall be punished with imprisonment which may extend to five years and shall also be liable to fine.


IPC 153AA in Simple Words
Section 153AA of the Indian Penal Code punishes those who promote or attempt to promote disharmony or hatred between different religious, racial, language, or regional groups, or engage in activities intending to use criminal force or violence against any such group, with imprisonment up to three years, or fine, or both, and up to five years of imprisonment with fine if the offence is committed in a place of worship or during religious ceremonies.",Promoting enmity between classes,3 Years or Fine or Both,153AA
"Description of IPC Section 153B
According to section 153B of Indian penal code,
Whoever, by words either spoken or written or by signs or by visible representations or otherwise:
makes or publishes any imputation that any class of persons cannot, by reason of their being members of any religious, racial, language or regional group or caste or community, bear true faith and allegiance to the Constitution of India as by law established or uphold the sovereignty and integrity of India, or
asserts, counsels, advises, propagates or publishes that any class of persons by reason of their being members of any religious, racial, language or regional group or caste or community be denied, or deprived of their rights as citizens of India, or
makes or publishes and assertion, counsel, plea or appeal concerning the obligation of any class of persons, by reason of their being members of any religious, racial, language or regional group or caste or community, and such assertion, counsel, plea or appeal causes or is likely to cause disharmony or feelings of enmity or hatred or ill-will between such members and other persons, shall be punished with imprisonment which may extend to three years, or with fine, or with both.
Whoever commits an offence specified in sub-section (1), in any place of worship or in any assembly engaged in the performance of religious worship or religious ceremonies, shall be punished with imprisonment which may extend to five years and shall also be liable to fine.


IPC 153B in Simple Words
Section 153B of the Indian Penal Code punishes those who make or publish statements that promote disharmony or hatred between different religious, racial, language, or regional groups, with imprisonment up to three years or a fine, and imprisonment up to five years with fine if the offence is committed in a place of worship or during religious ceremonies.","Imputations, assertions prejudicial to national integration",3 Years or Fine or Both,153B
"Description of IPC Section 154
According to section 154 of Indian penal code, Whenever any unlawful assembly or riot takes place, the owner or occupier of the land upon which such unlawful assembly is held, or such riot is committed, and any person having or claiming an interest in such land, shall be punishable with fine not exceeding one thousand rupees, if he or his agent or manager, knowing that such offence is being or has been committed, or having reason to believe it is likely to be committed, do not give the earliest notice thereof in his or their power to the principal officer at the nearest police-station, and do not, in the case of his or their having reason to believe that it was about to be committed, use all lawful means in his or their power to prevent it and, in the event of its taking place, do not use all lawful means in his or their power to disperse or suppress the riot or unlawful assembly.


IPC 154 in Simple Words
If an unlawful assembly or riot occurs on someone's land, the owner or anyone with an interest in the land can be fined up to one thousand rupees if they or their agent/manager knew about the offense but failed to inform the nearest police station promptly or did not take lawful actions to prevent or disperse the riot or assembly.","Owner or occupier of land non giving information of riot, etc.",Fine,154
"Description of IPC Section 155
According to section 155 of Indian penal code, Whenever a riot is committed for the benefit or on behalf of any person who is the owner or occupier of any land respecting which such riot takes place or who claims any interest in such land, or in the subject of any dispute which gave rise to the riot, or who has accepted or derived any benefit therefrom, such person shall be punishable with fine, if he or his agent or manager, having reason to believe that such riot was likely to be committed or that the unlawful assembly by which such riot was committed was likely to be held, shall not respectively use all lawful means in his or their power to prevent such assembly or riot from taking place, and for suppressing and dispersing the same.


IPC 155 in Simple Words
If a riot occurs for the benefit of a landowner or someone involved in a related dispute, that person can be fined if they or their agent/manager knew about the likelihood of the riot but failed to use lawful means to prevent or disperse it.",Person for whose benefit or on whose behalf a riot takes place not using all lawful means to prevent it,Fine,155
"Description of IPC Section 156
According to section 156 of Indian penal code, Whenever a riot is committed for the benefit or on behalf of any person who is the owner or occupier of any land respecting which such riot takes place, or who claims any interest in such land, or in the subject of any dispute which gave rise to the riot, or who has accepted or derived any benefit therefrom, the agent or manager of such person shall be punishable with fine, if such agent or manager, having reason to believe that such riot was likely to be committed, or that the unlawful assembly by which such riot was committed was likely to be held, shall not use all lawful means in his power to prevent such riot or assembly from taking place and for suppressing and dispersing the same.


IPC 156 in Simple Words
If a riot occurs for the benefit of a landowner or someone involved in a dispute related to the land, the agent or manager of that person can be fined if they knew about the possibility of the riot but failed to use lawful means to prevent or disperse it.",Agent of owner or occupier for whose benefit a riot is committed not using all lawful means to prevent it,Fine,156
"Description of IPC Section 157
According to section 157 of Indian penal code, Whoever harbours, receives or assembles, in any house or premises in his occupation or charge, or under his control any persons knowing that such persons have been hired, engaged or employed, or are about to be hired, engaged or employed, to join or become members of an unlawful assembly, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.


IPC 157 in Simple Words
If someone knowingly provides shelter or gathers people who have been hired or engaged to join an unlawful assembly, they can be punished with up to six months in jail, a fine, or both.",Harbouring persons hired for an unlawful assembly,6 Months or Fine or Both,157
"Description of IPC Section 158
According to section 158 of Indian penal code, Whoever is engaged, or hired, or offers or attempts to be hired or engaged, to do or assist in doing any of the acts specified in section 141, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.
Or to go armed â€” and whoever, being so engaged or hired as aforesaid, goes armed, or engages or offers to go armed, with any deadly weapon or with anything which used as a weapon of offence is likely to cause death, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 158 in Simple Words
Anyone who is hired or attempts to be hired to participate in illegal activities mentioned in section 141 can be punished with up to six months in jail, a fine, or both; and if they carry a deadly weapon or anything likely to cause death, the punishment can be up to two years in jail, a fine, or both.",Being hired to take part in an unlawful assembly or riot,6 Months or Fine or Both,158
"Description of IPC Section 159
According to section 159 of Indian penal code, When two or more persons, by fighting in a public place, disturb the public peace, they are said to “commit an affray”.


IPC 159 in Simple Words
When two or more people get into a public fight that disturbs the peace, they are said to have committed an affray.",Engaging in a public fight and disturbing peace is committing an affray with two or more individuals.,1 Month or Fine or Both,159
"Description of IPC Section 145
According to section 145 of Indian penal code, Whoever joins or continues in an unlawful assembly, knowing that such unlawful assembly has been commanded in the manner prescribed by law to disperse, shall be punished with imprisonment of either description for a term which may extent to two years, or with fine, or with both.


IPC 145 in Simple Words
If someone knowingly stays in an unlawful assembly after being commanded by law to disperse, they can be punished with up to two years in jail, a fine, or both.","Joining or continuing in an unlawful assembly, Knowing that it has been commanded to disperse",2 Years or Fine or Both,145
"Description of IPC Section 160
According to section 160 of Indian penal code, Whoever commits an affray, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to one hundred rupees, or with both.


IPC 160 in Simple Words
If someone engages in an affray (public fight or brawl), they can be punished with up to one month in jail, a fine of up to one hundred rupees, or both.",Committing affray,1 Month or Fine or Both,160
"Description of IPC Section 161
According to section 161 of Indian penal code, Repealed by the Prevention of Corruption Act, 1988


IPC 161 in Simple Words
Section 161 of the Indian Penal Code was removed from the law by the Prevention of Corruption Act, 1988.","Being or expecting to be a public servant, and taking A gratification other than Legal remuneration in respect of an official act",3 Years or Fine or Both,161
"Description of IPC Section 162
According to section 162 of Indian penal code, Repealed by the Prevention of Corruption Act, 1988


IPC 162 in Simple Words
Section 162 of the Indian Penal Code was removed from the law by the Prevention of Corruption Act, 1988.","Taking a gratification in order, by corrupt or illegal means, to influence a public servant",3 Years or Fine or Both,162
"Description of IPC Section 163
According to section 163 of Indian penal code, Repealed by the Prevention of Corruption Act, 1988


IPC 163 in Simple Words
Section 163 of the Indian Penal Code was removed from the law by the Prevention of Corruption Act, 1988.",Taking a gratification for the exercise of personal influence with a public servant,Simple Imprisonment for 1 Year or Fine or Both,163
"Description of IPC Section 164
According to section 164 of Indian penal code, Repealed by the Prevention of Corruption Act, 1988


IPC 164 in Simple Words
Section 164 of the Indian Penal Code was removed from the law by the Prevention of Corruption Act, 1988.",Abetment by public servant of the offences defined in the last two preceding clauses with reference to himself,3 Years or Fine or Both,164
"Description of IPC Section 165
According to section 165 of Indian penal code, Repealed by the Prevention of Corruption Act, 1988


IPC 165 in Simple Words
Section 165 of the Indian Penal Code was removed from the law by the Prevention of Corruption Act, 1988.","Public servant obtaining any valuable thing, without consideration, From a person concerned in any proceeding or business transacted by Such public servant",3 Years or Fine or Both,165
"Description of IPC Section 165A
According to section 165A of Indian penal code, Repealed by the Prevention of Corruption Act, 1988


IPC 165A in Simple Words
Section 165A of the Indian Penal Code was repealed by the Prevention of Corruption Act, 1988.",Punishment for abetment of offences punishable under section 161 or section 165,3 Years or Fine or Both,165A
"Description of IPC Section 166
According to section 166 of Indian penal code, Whoever, being a public servant, knowingly disobeys any direction of the law as to the way in which he is to conduct himself as such public servant, intending to cause, or knowing it to be likely that he will, by such disobedience, cause injury to any person, shall be punished with simple imprisonment for a term which may extend to one year, or with fine, or with both.


IPC 166 in Simple Words
If a public servant deliberately disobeys the law while performing their duties and causes harm to someone as a result, they can be punished with up to one year in jail, a fine, or both.",Public servant disobeying a direction of the law with intent to cause injury to any person,Simple Imprisonment for 1 Year or Fine or Both,166
"Description of IPC Section 166A
According to section 166A of Indian penal code, ""[Whoever, being a public servant,â€” (a) knowingly disobeys any direction of the law which prohibits him from requiring the attendance at any place of any person for the purpose of investigation into an offence or any other matter, or (b) knowingly disobeys, to the prejudice of any person, any other direction of the law regulating the manner in which he shall conduct such investigation, or (c) fails to record any information given to him under sub-section (1) of section 154 of the Code of Criminal Procedure, 1973 (2 of 1974), in relation to cognizable offence punishable under section 326A, section 326B, section 354, section 354B, section 370, section 370A, section 376, section 376A, 2[section 376AB, section 376B, section 376C, section 376D, section 376DA, section 376DB], section 376E or section 509, shall be punished with rigorous imprisonment for a term which shall not be less than six months but which may extend to two years, and shall also be liable to fine.""",Public servant disobeying direction under law,6 months to 2 years + Fine,166A
"Description of IPC Section 166B
According to section 166B of Indian penal code, Whoever, being in charge of a hospital, public or private, whether run by the Central Government, the State Government, local bodies or any other person, contravenes the provisions of section1 357C of the Code of Criminal Procedure, 1973, shall be punished with imprisonment for a term which may extend to one year or with fine or with both."," anyone overseeing a hospital, whether public or private, and breaching the provisions of Section 357C of the Code of Criminal Procedure.",1 Year or Fine or Both,166B
"Description of IPC Section 146
According to section 146 of Indian penal code, Whenever force or violence is used by an unlawful assembly, or by any member thereof, in prosecution of the common object of such assembly, every member of such assembly is guilty of the offence of rioting.


IPC 146 in Simple Words
If an unlawful assembly uses force or violence to achieve their common goal, every member of that assembly is considered guilty of the offense of rioting.",Rioting,2 Years or Fine or Both,146
"Description of IPC Section 167
According to section 167 of Indian penal code, Whoever, being a public servant, and being, as such public servant, charged with the preparation or translation of any document, frames or translates that document in a manner which he knows or believes to be incorrect, intending thereby to cause or knowing it to be likely that he may thereby cause injury to any person, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.


IPC 167 in Simple Words
If a public servant, responsible for preparing or translating a document, intentionally creates it inaccurately to cause harm to someone, they can be punished with up to three years in jail, a fine, or both.",Public servant framing an incorrect document with intent to cause injury,3 Years or Fine or Both,167
"Description of IPC Section 168
According to section 168 of Indian penal code, Whoever, being a public servant, and being legally bound as such public servant not to engages in trade, engages in trade, shall be punished with simple imprisonment for a term which may extend to one year, or with fine, or with both.


IPC 168 in Simple Words
If a public servant, who is prohibited from doing business, involves themselves in trade, they can be punished with up to one year in jail, a fine, or both.",Public servant unlawfully engaging in trade,Simple Imprisonment for 1 Year or Fine or Both,168
"Description of IPC Section 169
According to section 169 of Indian penal code, Whoever, being a public servant, and being legally bound as such public servant, not to purchase or bid for certain property, purchases or bids for that property, either in his own name or in the name of another, or jointly, or in shares with others, shall be punished with simple imprisonment for a term which may extend to two years, or with fine, or with both; and the property, if purchased, shall be confiscated.


IPC 169 in Simple Words
If a public servant, who is prohibited from buying certain property, purchases or bids for it in any way, they can be punished with up to two years in jail, a fine, or both, and the property may be confiscated.",Public servant unlawfully buying or bidding for property,"Simple Imprisonment for 2 Years or Fine or Both and confiscation of property, if purchased",169
"Description of IPC Section 170
According to section 170 of Indian penal code, Whoever pretends to hold any particular office as public servant, knowing that he does not hold such office or falsely personates any other person holding such office, and in such assumed character does or attempts to do any act under colour of such office, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 170 in Simple Words
If someone falsely claims to be a public servant or impersonates another public servant to perform official acts, they can be punished with up to two years in jail, a fine, or both.",Personating a Public servant,2 Years or Fine or Both,170
